2018-10-16 16:10:06,387 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:10:06,388 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\www\one\aicircle_dsf_resume_contract\src\test\resources
2018-10-16 16:10:06,414 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia:daojia.suyun.dao:jar:2.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,438 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.bj58.spat:com.bj58.spat.utility:jar:3.5.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,442 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.bj58.spat:com.bj58.spat.memcachedclient:jar:2.1.2 is missing, no dependency information available
2018-10-16 16:10:06,495 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.protocol:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,498 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat.dtracker:dtracker-client:jar:1.0.0-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,500 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.server:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,502 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.client:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,512 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.haobo.aicircle:com.daojia.haobo.aicircle.common.contract:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,537 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:10:06,539 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\www\one\aicircle_dsf_resume_service\src\main\resources
2018-10-16 16:10:06,543 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:10:06,544 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\www\one\aicircle_dsf_resume_service\src\test\resources
2018-10-16 16:10:06,624 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.dwf:com.daojia.dwf.mvc:jar:0.2.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,626 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dao:jar:1.0.7-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,629 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.dwf:dwfapi-annotations:jar:0.0.1-SNAPSHOT is missing, no dependency information available
